Benchmark                         Size     Cnt           μs/op ±     error             ops/s ±      error
                                                                                                         
Array builder                      100      10           0.976 ±     0.002     1,025,071.837 ±  1,730.436
Array builder                    1,000      10           6.318 ±     0.008       158,287.894 ±    188.009
Array builder                   10,000      10          55.355 ±     0.058        18,065.111 ±     18.987
List builder                       100      10           0.890 ±     0.003     1,123,088.138 ±  3,949.614
List builder                     1,000      10           6.122 ±     0.007       163,342.256 ±    189.274
List builder                    10,000      10          68.808 ±     0.128        14,533.179 ±     27.083
List var (append)                  100      10          53.124 ±     0.086        18,823.998 ±     30.519
List var (append)                1,000      10       4,714.009 ±    13.365           212.134 ±      0.601
List var (append)               10,000      10     509,038.175 ±   954.924             1.964 ±      0.004
List var (prepend)                 100      10           0.739 ±     0.019     1,352,864.365 ± 33,984.234
List var (prepend)               1,000      10           4.857 ±     0.036       205,902.014 ±  1,540.773
List var (prepend)              10,000      10          60.596 ±     0.602        16,503.503 ±    163.937
List var, prepend & reverse        100      10           1.433 ±     0.002       698,035.031 ±    829.147
List var, prepend & reverse      1,000      10          11.752 ±     0.009        85,089.763 ±     61.880
List var, prepend & reverse     10,000      10         137.234 ±     0.248         7,286.840 ±     13.212
Seq builder                        100      10           0.893 ±     0.003     1,119,248.140 ±  3,996.546
Seq builder                      1,000      10           6.110 ±     0.007       163,657.951 ±    185.811
Seq builder                     10,000      10          76.641 ±     0.188        13,047.912 ±     32.120
Seq var (append)                   100      10          54.095 ±     0.102        18,485.901 ±     34.906
Seq var (append)                 1,000      10       4,721.905 ±    11.374           211.779 ±      0.510
Seq var (append)                10,000      10     509,676.300 ± 1,399.064             1.962 ±      0.005
Seq var (prepend)                  100      10           1.073 ±     0.002       932,007.987 ±  1,969.561
Seq var (prepend)                1,000      10           8.115 ±     0.009       123,224.183 ±    137.548
Seq var (prepend)               10,000      10          89.370 ±     0.111        11,189.486 ±     13.864
Stream builder                     100      10           2.247 ±     0.005       445,134.238 ±    897.705
Stream builder                   1,000      10          18.046 ±     0.016        55,414.081 ±     49.034
Stream builder                  10,000      10         216.688 ±     0.447         4,614.937 ±      9.523
Stream var (append)                100      10           2.165 ±     0.003       461,948.511 ±    713.445
Stream var (append)              1,000      10          19.138 ±     0.015        52,253.012 ±     41.295
Stream var (append)             10,000      10         189.417 ±     0.170         5,279.348 ±      4.721
Stream var (prepend)               100      10           2.251 ±     0.036       444,352.972 ±  7,308.584
Stream var (prepend)             1,000      10          19.466 ±     0.695        51,397.440 ±  1,798.884
Stream var (prepend)            10,000      10         199.137 ±     0.098         5,021.681 ±      2.471
Vector builder                     100      10           5.898 ±     0.011       169,546.839 ±    309.835
Vector builder                   1,000      10          41.305 ±     0.048        24,210.222 ±     27.896
Vector builder                  10,000      10         409.582 ±     1.755         2,441.529 ±     10.501
Vector var (append)                100      10          95.018 ±     0.143        10,524.360 ±     15.861
Vector var (append)              1,000      10         943.812 ±     3.965         1,059.540 ±      4.454
Vector var (append)             10,000      10      10,053.863 ±    13.161            99.464 ±      0.130
Vector var (prepend)               100      10          95.028 ±     0.067        10,523.215 ±      7.448
Vector var (prepend)             1,000      10         956.181 ±     0.693         1,045.827 ±      0.758
Vector var (prepend)            10,000      10       9,882.824 ±    14.283           101.186 ±      0.146
