Benchmark                         Size     Cnt             μs/op ±     error           ops/s ±     error
                                                                                                        
Array builder                      100      10             4.085 ±     0.013     244,826.731 ±   795.272
Array builder                    1,000      10            36.152 ±     0.055      27,661.132 ±    42.161
Array builder                   10,000      10           358.585 ±     1.622       2,788.758 ±    12.632
ArraySeq builder                   100      10            14.817 ±     0.011      67,488.700 ±    51.375
ArraySeq builder                 1,000      10           121.564 ±     0.068       8,226.101 ±     4.628
ArraySeq builder                10,000      10         1,476.782 ±     1.109         677.148 ±     0.508
ArraySeq var (append)              100      10           174.515 ±     0.535       5,730.187 ±    17.528
ArraySeq var (append)            1,000      10        12,730.476 ±    15.264          78.552 ±     0.094
ArraySeq var (append)           10,000      10     1,214,828.700 ± 1,421.112           0.823 ±     0.001
ArraySeq var (prepend)             100      10           180.729 ±     0.383       5,533.153 ±    11.714
ArraySeq var (prepend)           1,000      10        12,976.500 ±    20.896          77.062 ±     0.124
ArraySeq var (prepend)          10,000      10     1,232,778.850 ± 3,660.954           0.811 ±     0.002
LazyList builder                   100      10             4.336 ±     0.009     230,644.423 ±   479.092
LazyList builder                 1,000      10            42.069 ±     0.050      23,770.318 ±    28.417
LazyList builder                10,000      10           772.904 ±     9.919       1,293.907 ±    16.830
LazyList var (append)              100      10             6.393 ±     0.010     156,412.103 ±   248.019
LazyList var (append)            1,000      10            60.300 ±     0.094      16,583.734 ±    25.817
LazyList var (append)           10,000      10           603.812 ±     0.920       1,656.147 ±     2.522
LazyList var (prepend)             100      10             6.389 ±     0.022     156,515.465 ±   535.806
LazyList var (prepend)           1,000      10            60.688 ±     0.179      16,477.795 ±    48.737
LazyList var (prepend)          10,000      10           606.041 ±     2.836       1,650.069 ±     7.722
List builder                       100      10             3.881 ±     0.010     257,661.804 ±   666.527
List builder                     1,000      10            35.382 ±     0.056      28,262.815 ±    44.808
List builder                    10,000      10           364.800 ±     0.579       2,741.233 ±     4.351
List var (append)                  100      10           273.394 ±     0.847       3,657.742 ±    11.335
List var (append)                1,000      10        26,646.269 ±    67.666          37.529 ±     0.095
List var (append)               10,000      10     1,216,178.900 ±   341.767           0.822 ±     0.000
List var (prepend)                 100      10             3.742 ±     0.019     267,262.369 ± 1,361.145
List var (prepend)               1,000      10            33.498 ±     0.089      29,852.230 ±    79.075
List var (prepend)              10,000      10           363.077 ±     0.325       2,754.239 ±     2.463
List var, prepend & reverse        100      10             4.647 ±     0.013     215,205.589 ±   593.130
List var, prepend & reverse      1,000      10            44.593 ±     0.070      22,425.254 ±    35.241
List var, prepend & reverse     10,000      10           464.006 ±     0.626       2,155.148 ±     2.910
Seq builder                        100      10             3.915 ±     0.010     255,402.444 ±   625.678
Seq builder                      1,000      10            35.547 ±     0.105      28,132.088 ±    83.098
Seq builder                     10,000      10           363.880 ±     0.478       2,748.159 ±     3.612
Seq var (append)                   100      10           285.508 ±     0.458       3,502.536 ±     5.626
Seq var (append)                 1,000      10        27,540.215 ±    28.477          36.311 ±     0.038
Seq var (append)                10,000      10     2,788,582.000 ± 3,506.778           0.359 ±     0.000
Seq var (prepend)                  100      10             4.108 ±     0.024     243,428.935 ± 1,397.971
Seq var (prepend)                1,000      10            36.577 ±     0.121      27,339.393 ±    90.140
Seq var (prepend)               10,000      10           379.415 ±     1.007       2,635.643 ±     6.985
Vector builder                     100      10             9.746 ±     0.015     102,608.828 ±   161.122
Vector builder                   1,000      10            69.557 ±     0.044      14,376.642 ±     9.108
Vector builder                  10,000      10           675.969 ±     1.176       1,479.360 ±     2.572
Vector var (append)                100      10            65.396 ±     0.137      15,291.563 ±    32.120
Vector var (append)              1,000      10           625.561 ±     1.263       1,598.568 ±     3.225
Vector var (append)             10,000      10         6,495.331 ±     4.950         153.957 ±     0.117
Vector var (prepend)               100      10            63.760 ±     0.090      15,683.876 ±    22.082
Vector var (prepend)             1,000      10           625.531 ±     1.365       1,598.644 ±     3.489
Vector var (prepend)            10,000      10         6,478.928 ±     5.358         154.347 ±     0.128
