Benchmark                         Size     Cnt             μs/op ±     error           ops/s ±     error
                                                                                                        
Array builder                      100      10             4.052 ±     0.027     246,771.557 ± 1,621.380
Array builder                    1,000      10            35.822 ±     0.129      27,915.793 ±    99.935
Array builder                   10,000      10           342.753 ±     0.685       2,917.555 ±     5.822
ArraySeq builder                   100      10            14.954 ±     0.031      66,873.626 ±   139.362
ArraySeq builder                 1,000      10           121.540 ±     0.100       8,227.723 ±     6.777
ArraySeq builder                10,000      10         1,484.950 ±     2.062         673.424 ±     0.936
ArraySeq var (append)              100      10           169.014 ±     0.467       5,916.675 ±    16.306
ArraySeq var (append)            1,000      10        12,798.332 ±    19.031          78.135 ±     0.116
ArraySeq var (append)           10,000      10     1,230,870.550 ± 1,098.495           0.812 ±     0.001
ArraySeq var (prepend)             100      10           173.071 ±     0.370       5,777.997 ±    12.365
ArraySeq var (prepend)           1,000      10        12,966.477 ±    17.002          77.122 ±     0.101
ArraySeq var (prepend)          10,000      10     1,246,306.300 ±   873.185           0.802 ±     0.001
LazyList builder                   100      10             4.067 ±     0.019     245,908.231 ± 1,156.729
LazyList builder                 1,000      10            39.082 ±     0.038      25,587.311 ±    24.973
LazyList builder                10,000      10           818.470 ±    29.762       1,222.425 ±    44.186
LazyList var (append)              100      10             6.564 ±     0.019     152,339.986 ±   441.924
LazyList var (append)            1,000      10            62.665 ±     0.677      15,958.717 ±   171.937
LazyList var (append)           10,000      10           637.417 ±     0.237       1,568.831 ±     0.584
LazyList var (prepend)             100      10             6.591 ±     0.012     151,716.113 ±   269.464
LazyList var (prepend)           1,000      10            62.444 ±     0.467      16,014.824 ±   118.382
LazyList var (prepend)          10,000      10           641.600 ±     0.740       1,558.604 ±     1.797
List builder                       100      10             3.880 ±     0.008     257,764.153 ±   557.929
List builder                     1,000      10            35.419 ±     0.142      28,233.316 ±   113.523
List builder                    10,000      10           363.919 ±     0.504       2,747.865 ±     3.806
List var (append)                  100      10           101.579 ±     0.252       9,844.584 ±    24.421
List var (append)                1,000      10         9,475.642 ±    22.031         105.534 ±     0.245
List var (append)               10,000      10       544,361.200 ±   894.252           1.837 ±     0.003
List var (prepend)                 100      10             3.648 ±     0.012     274,151.421 ±   912.306
List var (prepend)               1,000      10            33.226 ±     0.072      30,096.923 ±    65.124
List var (prepend)              10,000      10           339.252 ±     0.461       2,947.665 ±     4.004
List var, prepend & reverse        100      10             4.205 ±     0.011     237,791.229 ±   608.433
List var, prepend & reverse      1,000      10            39.042 ±     0.087      25,613.584 ±    56.773
List var, prepend & reverse     10,000      10           409.431 ±     0.545       2,442.413 ±     3.251
Seq builder                        100      10             3.832 ±     0.012     260,981.074 ±   827.503
Seq builder                      1,000      10            35.763 ±     0.154      27,962.094 ±   120.968
Seq builder                     10,000      10           364.871 ±     0.905       2,740.705 ±     6.796
Seq var (append)                   100      10           101.166 ±     0.074       9,884.777 ±     7.270
Seq var (append)                 1,000      10         9,433.648 ±    17.255         106.004 ±     0.194
Seq var (append)                10,000      10       978,671.400 ±   677.112           1.022 ±     0.001
Seq var (prepend)                  100      10             3.463 ±     0.010     288,746.039 ±   795.137
Seq var (prepend)                1,000      10            31.466 ±     0.105      31,779.970 ±   106.048
Seq var (prepend)               10,000      10           322.652 ±     0.559       3,099.320 ±     5.364
Vector builder                     100      10             9.320 ±     0.018     107,291.791 ±   201.777
Vector builder                   1,000      10            66.824 ±     0.047      14,964.737 ±    10.468
Vector builder                  10,000      10           642.677 ±     0.717       1,555.993 ±     1.734
Vector var (append)                100      10            57.241 ±     0.061      17,470.066 ±    18.597
Vector var (append)              1,000      10           712.653 ±     0.597       1,403.209 ±     1.174
Vector var (append)             10,000      10         6,200.743 ±    10.354         161.271 ±     0.269
Vector var (prepend)               100      10            56.702 ±     0.029      17,635.994 ±     8.946
Vector var (prepend)             1,000      10           711.692 ±     0.609       1,405.104 ±     1.202
Vector var (prepend)            10,000      10         6,047.385 ±     5.886         165.361 ±     0.161
